전공,입력코드,과목명,구분,전체,2학년,3학년,4학년,1학년
경영학전공,MGT3007-03,국제경영론,경쟁률,1 : 0.56,1 : 0.40,1 : 0.59,1 : 0.28,쿼터없음
경영학전공,MGT3007-04,국제경영론,경쟁률,1 : 0.79,1 : 0.45,1 : 0.81,1 : 0.58,쿼터없음
경영학전공,MGT4101-01,경영전략시뮬레이션,경쟁률,1 : 0.13,신청없음,1 : 0.06,1 : 0.09,쿼터없음
경영학전공,MGT4102-01,경영전략,경쟁률,1 : 2.54,1 : 0.50,1 : 1.02,1 : 6.35,쿼터없음
경영학전공,MGT4102-02,경영전략,경쟁률,1 : 0.67,신청없음,1 : 0.20,1 : 0.62,쿼터없음
경영학전공,MGT4102-03,경영전략,경쟁률,1 : 0.24,1 : 0.30,1 : 0.04,1 : 0.18,쿼터없음
경영학전공,MGT4103-01,조직구조와전략,경쟁률,1 : 0.57,1 : 0.20,1 : 0.53,1 : 0.41,쿼터없음
경영학전공,MGT4106-01,인적자원관리,경쟁률,1 : 0.79,신청없음,1 : 0.58,1 : 0.68,쿼터없음
경영학전공,MGT4109-01,기업전략의최신주제및사례연구,경쟁률,1 : 0.16,1 : 0.05,1 : 0.08,1 : 0.08,쿼터없음
경영학전공,MGT4110-01,기업윤리와실천적경영인재,경쟁률,1 : 0.63,1 : 0.15,1 : 0.30,1 : 0.51,쿼터없음
경영학전공,MGT4201-01,의사결정론,경쟁률,1 : 1.41,1 : 0.05,1 : 0.84,1 : 2.26,신청없음
경영학전공,MGT4202-01,통계자료분석,경쟁률,1 : 0.87,1 : 0.20,1 : 0.63,1 : 0.89,신청없음
경영학전공,MGT4203-01,경영과학,경쟁률,1 : 0.37,1 : 0.05,1 : 0.27,1 : 0.25,신청없음
경영학전공,MGT4207-01,응용경영통계,경쟁률,1 : 0.33,1 : 0.10,1 : 0.14,1 : 0.26,신청없음
경영학전공,MGT4223-01,정보기술과글로벌소셜비즈니스모델(캡스톤디자인),경쟁률,1 : 0.19,신청없음,1 : 0.08,1 : 0.15,쿼터없음
경영학전공,MGT4225-01,전사적자원관리소프트웨어활용,경쟁률,1 : 0.26,신청없음,1 : 0.13,1 : 0.20,쿼터없음
경영학전공,MGT4227-01,지식경영과서비스혁신,경쟁률,1 : 0.10,신청없음,1 : 0.08,1 : 0.06,쿼터없음
경영학전공,MGT4241-01,기술경영,경쟁률,1 : 0.27,신청없음,1 : 0.11,1 : 0.22,쿼터없음
경영학전공,MGT4243-01,경영품질의이해,경쟁률,1 : 0.34,신청없음,1 : 0.11,1 : 0.29,쿼터없음
경영학전공,MGT4247-01,공급체인관리와e-business,경쟁률,1 : 0.31,1 : 0.05,1 : 0.11,1 : 0.25,쿼터없음
경영학전공,MGT4248-01,비즈니스프로세스관리,경쟁률,1 : 0.17,신청없음,1 : 0.09,1 : 0.12,쿼터없음
경영학전공,MGT4301-01,투자론,경쟁률,1 : 0.61,1 : 0.20,1 : 0.50,1 : 0.55,신청없음
경영학전공,MGT4301-03,투자론,경쟁률,1 : 1.79,1 : 0.55,1 : 2.62,1 : 1.90,신청없음
경영학전공,MGT4304-01,포트폴리오관리,경쟁률,1 : 0.66,1 : 0.05,1 : 0.49,1 : 0.65,신청없음
경영학전공,MGT4306-01,금융리스크관리,경쟁률,1 : 0.34,신청없음,1 : 0.25,1 : 0.28,신청없음
경영학전공,MGT4307-01,금융기관론,경쟁률,1 : 0.71,1 : 0.05,1 : 0.33,1 : 0.78,신청없음
경영학전공,MGT4310-01,재무특강,경쟁률,1 : 0.16,신청없음,1 : 0.03,1 : 0.17,신청없음
경영학전공,MGT4311-01,금융실무,경쟁률,1 : 0.91,신청없음,1 : 0.43,1 : 1.09,신청없음
경영학전공,MGT4313-01,벤처와금융시장(캡스톤디자인),경쟁률,1 : 0.42,1 : 0.07,1 : 0.21,1 : 0.32,쿼터없음
경영학전공,MGT4331-01,보험학원론,경쟁률,1 : 0.43,신청없음,1 : 0.33,1 : 0.36,신청없음
경영학전공,MGT4331-02,보험학원론,경쟁률,1 : 0.36,1 : 0.10,1 : 0.29,1 : 0.26,신청없음
경영학전공,MGT4401-01,중급회계1,경쟁률,1 : 0.79,1 : 0.85,1 : 0.73,1 : 0.59,1 : 0.06
경영학전공,MGT4401-02,중급회계1,경쟁률,1 : 0.50,1 : 0.15,1 : 0.34,1 : 0.31,쿼터없음
경영학전공,MGT4401-03,중급회계1,경쟁률,1 : 0.76,1 : 0.60,1 : 0.82,1 : 0.52,신청없음
경영학전공,MGT4402-01,중급회계2,경쟁률,1 : 0.75,1 : 0.35,1 : 0.72,1 : 0.56,신청없음
경영학전공,MGT4404-01,원가회계,경쟁률,1 : 1.24,1 : 0.60,1 : 1.32,1 : 1.50,1 : 0.20
경영학전공,MGT4503-01,시장조사론,경쟁률,1 : 0.65,1 : 0.15,1 : 0.21,1 : 0.55,쿼터없음
경영학전공,MGT4505-01,브랜드전략론,경쟁률,1 : 1.34,1 : 0.03,1 : 0.59,1 : 1.60,쿼터없음
경영학전공,MGT4510-01,국제마케팅론,경쟁률,1 : 0.37,신청없음,1 : 0.10,1 : 0.33,쿼터없음
경영학전공,MGT4513-01,마케팅최신주제및사례연구,경쟁률,1 : 0.83,1 : 0.10,1 : 0.26,1 : 0.80,쿼터없음
경영학전공,MGT4601-01,기업과국제환경,경쟁률,1 : 1.29,1 : 0.25,1 : 1.06,1 : 1.60,쿼터없음
경영학전공,MGT4607-01,국제금융시장론,경쟁률,1 : 1.74,1 : 0.25,1 : 1.69,1 : 1.93,쿼터없음
경영학전공,MGT4613-01,중국시장및경영환경의이해,경쟁률,1 : 0.73,1 : 0.15,1 : 0.49,1 : 0.61,쿼터없음
경영학전공,MGT4701-01,경영영어라이팅,경쟁률,1 : 0.39,쿼터없음,1 : 0.14,1 : 0.32,쿼터없음
경영학전공,MGT4704-01,CEO경영특강,경쟁률,1 : 0.57,1 : 0.13,1 : 0.34,1 : 0.67,신청없음
경영학전공,MGT4709-01,기업과사회,경쟁률,1 : 0.10,쿼터없음,쿼터없음,쿼터없음,1 : 0.03
경영학전공,MGTG205-01,재무제표분석(캡스톤디자인),경쟁률,1 : 0.11,신청없음,1 : 0.06,1 : 0.08,신청없음
철학전공,PHI2002-01,동양철학개론,경쟁률,1 : 0.43,1 : 0.90,1 : 0.45,1 : 0.13,1 : 0.04
철학전공,PHI2003-01,서양철학사,경쟁률,1 : 0.85,1 : 1.65,1 : 1.05,1 : 0.60,1 : 0.07
철학전공,PHI2005-01,논리학개론,경쟁률,1 : 1.73,1 : 2.44,1 : 2.24,1 : 2.08,1 : 0.16
철학전공,PHI2006-01,형이상학,경쟁률,1 : 0.28,1 : 0.25,1 : 0.29,1 : 0.04,쿼터없음
철학전공,PHI2008-01,윤리학,경쟁률,1 : 0.37,1 : 0.10,1 : 0.42,1 : 0.10,쿼터없음
철학전공,PHI3002-01,서양중세철학사,경쟁률,1 : 0.23,1 : 0.25,1 : 0.11,1 : 0.10,쿼터없음
철학전공,PHI3009-01,대륙합리론,경쟁률,1 : 0.56,1 : 0.65,1 : 0.48,1 : 0.30,쿼터없음
철학전공,PHI3014-01,미학개론,경쟁률,1 : 0.43,1 : 0.55,1 : 0.45,1 : 0.14,1 : 0.02
철학전공,PHI3020-01,실존철학,경쟁률,1 : 0.33,1 : 0.30,1 : 0.26,1 : 0.09,쿼터없음
철학전공,PHI3023-01,분석철학,경쟁률,1 : 0.64,1 : 0.65,1 : 0.67,1 : 0.36,쿼터없음
철학전공,PHI3026-01,심리철학,경쟁률,1 : 0.24,1 : 0.10,1 : 0.28,1 : 0.07,쿼터없음
철학전공,PHI3034-01,"위진,당철학사",경쟁률,1 : 0.12,1 : 0.10,1 : 0.03,1 : 0.05,쿼터없음
철학전공,PHI3037-01,도가철학,경쟁률,1 : 0.23,1 : 0.15,1 : 0.14,1 : 0.15,신청없음
철학전공,PHI3043-01,주자학,경쟁률,1 : 0.05,신청없음,1 : 0.08,신청없음,쿼터없음
철학전공,PHI4013-01,현대미국철학,경쟁률,1 : 0.72,1 : 0.80,1 : 0.75,1 : 0.35,쿼터없음
철학전공,PHI4017-01,인도철학,경쟁률,1 : 0.22,1 : 0.30,1 : 0.12,1 : 0.04,쿼터없음
철학전공,PHI4035-01,예술철학특강,경쟁률,1 : 0.13,1 : 0.15,1 : 0.11,1 : 0.02,쿼터없음
철학전공,PHI4037-01,서양철학의원리,경쟁률,1 : 0.16,1 : 0.10,1 : 0.14,1 : 0.07,쿼터없음
철학전공,PHIG082-01,동양철학읽기,경쟁률,1 : 0.12,신청없음,1 : 0.10,1 : 0.06,쿼터없음
철학전공,PHIQ982-01,철학교과교육론,경쟁률,1 : 0.01,신청없음,신청없음,1 : 0.02,신청없음
물리학전공,PHY1001-01,일반물리I,경쟁률,1 : 0.07,1 : 0.50,신청없음,신청없음,신청없음
물리학전공,PHY1001-02,일반물리I,경쟁률,1 : 0.23,1 : 0.90,1 : 0.67,1 : 0.29,1 : 0.02
물리학전공,PHY1001-03,일반물리I,경쟁률,1 : 0.20,1 : 1.00,1 : 0.20,신청없음,1 : 0.05
물리학전공,PHY1001-04,일반물리I,경쟁률,1 : 0.13,1 : 0.30,1 : 0.08,신청없음,1 : 0.08
물리학전공,PHY1001-05,일반물리I,경쟁률,1 : 0.04,1 : 0.20,신청없음,신청없음,1 : 0.01
물리학전공,PHY1001-06,일반물리I,경쟁률,1 : 0.11,1 : 0.70,1 : 0.13,신청없음,신청없음
물리학전공,PHY1001-07,일반물리I,경쟁률,1 : 0.19,1 : 0.70,1 : 0.50,1 : 0.22,신청없음
물리학전공,PHY1001-08,일반물리I,경쟁률,1 : 0.36,1 : 1.90,1 : 0.60,1 : 0.43,신청없음
물리학전공,PHY1001-09,일반물리I,경쟁률,1 : 0.23,1 : 1.00,1 : 0.40,신청없음,1 : 0.07
물리학전공,PHY1001-10,일반물리I,경쟁률,1 : 0.06,1 : 0.30,신청없음,신청없음,1 : 0.01
물리학전공,PHY1101-01,일반물리실험I,경쟁률,1 : 0.19,1 : 1.50,신청없음,신청없음,신청없음
물리학전공,PHY1101-02,일반물리실험I,경쟁률,1 : 0.88,1 : 5.00,1 : 1.00,1 : 1.00,1 : 0.17
물리학전공,PHY1101-03,일반물리실험I,경쟁률,1 : 0.31,1 : 1.50,1 : 2.00,신청없음,신청없음
물리학전공,PHY1101-04,일반물리실험I,경쟁률,1 : 0.31,1 : 1.00,1 : 1.00,1 : 2.00,신청없음
물리학전공,PHY1101-05,일반물리실험I,경쟁률,1 : 0.25,신청없음,1 : 0.33,1 : 1.00,신청없음
물리학전공,PHY1101-06,일반물리실험I,경쟁률,1 : 0.19,1 : 0.50,신청없음,1 : 0.67,신청없음
물리학전공,PHY1101-07,일반물리실험I,경쟁률,1 : 0.13,신청없음,신청없음,신청없음,1 : 0.13
물리학전공,PHY1101-09,일반물리실험I,경쟁률,1 : 0.56,1 : 2.50,1 : 1.00,1 : 1.00,1 : 0.17
물리학전공,PHY1101-10,일반물리실험I,경쟁률,1 : 0.38,1 : 2.00,신청없음,1 : 0.50,1 : 0.08
