학과,과목분반,과목명,1학년,2학년,3학년 ,4학년,전학년
교양학부,HLU4006-01,요가,1 : 1.30,1 : 2.20,1 : 2.60,1 : 7.40,1 : 3.38
교양학부,HLU4007-01,테니스,1 : 0.40,1 : 0.25,1 : 0.32,1 : 0.92,1 : 0.95
교양학부,HLU4007-02,테니스,1 : 1.00,1 : 1.20,1 : 1.20,1 : 5.40,1 : 2.20
교양학부,HLU4009-01,배드민턴,1 : 0.30,1 : 0.82,1 : 0.46,1 : 2.06,1 : 1.45
교양학부,HLU4011-01,농구,1 : 0.20,신청없음,신청없음,1 : 0.37,1 : 0.40
교양학부,HLU4013-01,축구,1 : 0.50,1 : 0.67,1 : 0.20,1 : 0.68,1 : 0.83
교양학부,HLU4014-01,야구,1 : 0.10,1 : 0.26,1 : 0.29,1 : 0.59,1 : 0.73
교양학부,HLU4015-01,골프,1 : 1.10,1 : 1.30,1 : 1.20,1 : 2.50,1 : 1.53
교양학부,HLU4015-02,골프,1 : 0.20,신청없음,1 : 0.07,1 : 0.22,1 : 0.30
교양학부,HLU4102-01,테니스II,1 : 0.10,1 : 0.32,1 : 0.17,1 : 0.21,1 : 0.43
교양학부,HSS3002-01,사회봉사,1 : 0.75,1 : 1.50,1 : 1.70,1 : 5.40,1 : 1.78
교양학부,HSS3002-02,사회봉사,1 : 0.60,1 : 1.13,1 : 1.40,1 : 1.80,1 : 1.22
교양학부,HSS3002-03,사회봉사,쿼터없음,1 : 0.16,1 : 0.01,1 : 0.03,1 : 0.09
교양학부,HSS3002-04,사회봉사,쿼터없음,신청없음,1 : 0.05,1 : 0.06,1 : 0.10
교양학부,HSS3005-01,수화의이해,1 : 3.00,1 : 3.35,1 : 1.37,1 : 3.83,1 : 2.83
교양학부,HSS3011-01,영어토론세미나,쿼터없음,1 : 6.20,1 : 2.80,1 : 4.75,1 : 4.28
교양학부,HSS3011-02,영어토론세미나,쿼터없음,1 : 6.90,1 : 3.20,1 : 3.95,1 : 4.26
교양학부,HSS3013-01,현대인문세미나,1 : 0.21,쿼터없음,쿼터없음,쿼터없음,1 : 0.60
교양학부,HSS3013-02,현대인문세미나,1 : 0.18,쿼터없음,쿼터없음,쿼터없음,1 : 0.63
교양학부,HSS3016-01,진로탐색입문,1 : 1.70,1 : 0.59,쿼터없음,쿼터없음,1 : 0.82
교양학부,HSS3017-01,학습매니지먼트,1 : 1.30,1 : 2.20,1 : 1.80,쿼터없음,1 : 1.80
교양학부,HSS3019-01,세계를간다,_,_,_,_,_
교양학부,HSS3021-01,인간과지성,1 : 0.60,1 : 0.13,1 : 0.11,1 : 0.60,1 : 0.70
교양학부,HSS3024-01,글로벌기업CEO특강,쿼터없음,1 : 2.00,1 : 1.97,쿼터없음,1 : 2.28
교양학부,HSS3025-01,진로탐색심화,쿼터없음,1 : 4.25,1 : 1.45,쿼터없음,1 : 2.13
교양학부,HSS3026-01,SOFEX100동아시아와예수회교육,_,_,_,_,_
신문방송학전공,JAS3001-01,저널리즘개론,쿼터없음,1 : 1.00,1 : 1.65,1 : 0.65,1 : 1.08
신문방송학전공,JAS3003-01,네트워크사회와미디어,쿼터없음,1 : 0.40,1 : 0.35,1 : 0.33,1 : 0.59
커뮤니케이션학전공,JAS3005-01,대중문화론,쿼터없음,1 : 4.20,1 : 4.25,1 : 2.87,1 : 3.82
신문방송학전공,JAS3006-01,융합적 미디어 글쓰기,신청없음,1 : 0.07,1 : 0.38,1 : 0.50,1 : 0.67
신문방송학전공,JAS3007-01,광고4.0,신청없음,1 : 0.56,1 : 0.19,1 : 0.40,1 : 0.62
커뮤니케이션학전공,JAS3009-01,광고카피라이팅과전략적글쓰기,신청없음,1 : 0.10,1 : 0.04,1 : 0.09,1 : 0.16
신문방송학전공,JAS3011-01,PR글쓰기와실무,신청없음,1 : 0.73,1 : 1.37,1 : 1.40,1 : 1.29
커뮤니케이션학전공,JAS3013-01,PR이론과실제,쿼터없음,1 : 1.60,1 : 1.73,1 : 1.47,1 : 1.60
커뮤니케이션학전공,JAS4011-01,마케팅커뮤니케이션과시장읽기,신청없음,1 : 0.04,1 : 0.04,1 : 0.11,1 : 0.15
신문방송학전공,JAS4012-01,벤처마케팅커뮤니케이션,신청없음,신청없음,1 : 0.07,1 : 0.12,1 : 0.16
커뮤니케이션학전공,JAS4018-01,기계학습기반의텍스트마이닝,신청없음,1 : 0.08,1 : 0.05,1 : 0.08,1 : 0.15
커뮤니케이션학전공,JAS4022-01,매스컴효과론,쿼터없음,1 : 0.50,1 : 0.72,1 : 0.41,1 : 0.78
커뮤니케이션학전공,JAS4030-01,마케팅PR,쿼터없음,1 : 4.00,1 : 1.40,1 : 1.60,1 : 2.00
신문방송학전공,JAS4032-01,소셜미디어와글로벌소비자행동,신청없음,1 : 0.40,1 : 0.11,1 : 0.22,1 : 0.42
일본문화전공,JPN2001-01,중급일본어I,1 : 0.20,1 : 0.17,1 : 0.12,1 : 0.04,1 : 0.26
일본문화전공,JPN2003-01,미디어일본어,신청없음,1 : 0.20,1 : 0.05,1 : 0.10,1 : 0.20
일본문화전공,JPN2004-01,일본어회화,1 : 0.20,1 : 0.36,1 : 0.21,1 : 0.12,1 : 0.37
일본문화전공,JPN2011-01,일본소설강독,신청없음,신청없음,1 : 0.04,1 : 0.03,1 : 0.06
일본문화전공,JPN2014-01,일본문화특강II,1 : 0.20,1 : 0.11,1 : 0.11,1 : 0.08,1 : 0.21
일본문화전공,JPN4005-01,일본문학특강,신청없음,1 : 0.27,1 : 0.10,1 : 0.14,1 : 0.29
일본문화전공,JPN4011-01,일본사회특강,신청없음,1 : 0.04,1 : 0.10,1 : 0.20,1 : 0.27
교양학부,KCS1001-01,한국문화의이해와체험,1 : 0.78,쿼터없음,쿼터없음,쿼터없음,1 : 0.88
교양학부,KCS1001-02,한국문화의이해와체험,1 : 0.38,쿼터없음,쿼터없음,쿼터없음,1 : 0.38
교양학부,KCS1001-03,한국문화의이해와체험,1 : 0.02,쿼터없음,쿼터없음,쿼터없음,1 : 0.02
교양학부,KCS1001-04,한국문화의이해와체험,_,_,_,_,_
교양학부,KCS1002-01,한국문화의이해와탐색,1 : 1.35,쿼터없음,쿼터없음,쿼터없음,1 : 1.38
교양학부,KCS1002-02,한국문화의이해와탐색,1 : 0.43,쿼터없음,쿼터없음,쿼터없음,1 : 0.43
교양학부,KCS1002-03,한국문화의이해와탐색,1 : 0.22,쿼터없음,쿼터없음,쿼터없음,1 : 0.22
교양학부,KCS1002-04,한국문화의이해와탐색,_,_,_,_,_
한국발전과국제개발협력연계전공,KIC2002-01,공적개발원조,1 : 0.07,신청없음,1 : 0.05,신청없음,1 : 0.05
한국발전과국제개발협력연계전공,KIC3004-01,국제개발협력과NGO,신청없음,1 : 0.07,1 : 0.05,1 : 0.04,1 : 0.10
한국발전과국제개발협력연계전공,KIC3005-01,국제개발협력의주요의제,1 : 0.07,1 : 0.14,1 : 0.15,1 : 0.18,1 : 0.33
국어국문학전공,KOR2001-01,국어학입문,1 : 1.20,1 : 0.55,1 : 0.53,1 : 0.20,1 : 0.88
국어국문학전공,KOR2200-01,국문학개설,1 : 1.48,1 : 1.60,1 : 1.60,1 : 0.80,1 : 1.44
국어국문학전공,KOR2201-01,문학이란무엇인가,1 : 0.36,1 : 0.38,1 : 0.86,1 : 0.63,1 : 0.93
국어국문학전공,KOR3002-01,국어음운론,쿼터없음,1 : 0.85,1 : 0.33,1 : 0.15,1 : 0.56
국어국문학전공,KOR3003-01,국어의문장구조,쿼터없음,1 : 1.35,1 : 0.70,1 : 0.81,1 : 1.08
국어국문학전공,KOR3004-01,국어형태론,쿼터없음,1 : 3.10,1 : 1.30,1 : 0.60,1 : 1.58
국어국문학전공,KOR3015-01,국어사,쿼터없음,1 : 2.10,1 : 0.33,1 : 0.24,1 : 0.80
국어국문학전공,KOR3302-01,고전소설텍스트읽기,쿼터없음,1 : 0.80,1 : 0.89,1 : 0.50,1 : 0.89
국어국문학전공,KOR3303-01,고전수필론,쿼터없음,1 : 0.67,1 : 0.25,1 : 0.33,1 : 0.58
국어국문학전공,KOR3405-01,현대시텍스트읽기II,쿼터없음,1 : 0.53,1 : 0.27,1 : 0.26,1 : 0.49
국어국문학전공,KOR3410-01,희곡론,쿼터없음,1 : 0.25,1 : 0.26,1 : 0.15,1 : 0.37
국어국문학전공,KOR4001-01,국어학연습,쿼터없음,쿼터없음,신청없음,1 : 0.35,1 : 0.35
국어국문학전공,KOR4002-01,외국어로서의한국어교육,쿼터없음,쿼터없음,1 : 0.60,1 : 0.43,1 : 0.63
국어국문학전공,KOR4099-01,개별연구논문,_,_,_,_,_
국어국문학전공,KOR4504-01,문학과문화콘텐츠,1 : 0.27,1 : 1.23,1 : 1.53,1 : 2.40,1 : 1.58
국어국문학전공,KORG011-01,고전문학연구방법론,쿼터없음,쿼터없음,신청없음,1 : 0.05,1 : 0.05
국어국문학전공,KORQ982-01,국어교과논리및논술,쿼터없음,1 : 0.20,1 : 0.11,1 : 0.04,1 : 0.17
국어국문학전공,KORQ983-01,국어교과교재연구및지도법,쿼터없음,1 : 0.10,1 : 0.11,1 : 0.07,1 : 0.17
