개설전공,입력코드,과목명,전체,2학년,3학년,4학년,1학년
신문방송학전공,COM3130-01,정보사회론,1 : 0.02,신청없음,1 : 0.03,신청없음,쿼터없음
신문방송학전공,COM3201-01,광고커뮤니케이션,1 : 1.20,1 : 2.60,1 : 1.10,1 : 0.55,쿼터없음
신문방송학전공,COM3205-01,PR전략과이론,1 : 1.60,1 : 1.80,1 : 1.33,1 : 1.80,쿼터없음
신문방송학전공,COM3212-01,IMC캠페인실습,1 : 0.50,신청없음,신청없음,1 : 0.50,쿼터없음
신문방송학전공,COM3220-01,헬스커뮤니케이션,1 : 0.55,1 : 0.60,1 : 0.58,1 : 0.22,쿼터없음
신문방송학전공,COM3301-01,연극입문,1 : 0.43,1 : 0.33,1 : 0.30,1 : 0.21,1 : 0.04
신문방송학전공,COM3302-01,영화입문,1 : 1.48,1 : 1.40,1 : 2.40,1 : 2.07,1 : 0.07
신문방송학전공,COM3315-01,대본창작의기초,1 : 2.14,1 : 1.40,1 : 2.35,1 : 3.20,쿼터없음
신문방송학전공,COM3323-01,뮤지컬창작기초(캡스톤디자인),1 : 0.90,1 : 0.70,1 : 0.69,1 : 0.72,쿼터없음
신문방송학전공,COM3329-01,판타지콘텐츠창작,1 : 0.96,1 : 0.75,1 : 0.42,1 : 0.93,쿼터없음
신문방송학전공,COM3401-01,디지털미디어개론,1 : 0.26,1 : 0.27,1 : 0.17,1 : 0.05,쿼터없음
신문방송학전공,COM3402-01,디지털미디어테크놀로지개론,1 : 1.13,1 : 3.20,1 : 1.20,1 : 0.73,신청없음
신문방송학전공,COM3409-01,미디어심리학(캡스톤디자인),1 : 1.30,1 : 2.60,1 : 0.67,1 : 1.00,쿼터없음
신문방송학전공,COM3412-01,정보엔터테인먼트산업론,1 : 0.40,1 : 0.20,1 : 0.28,1 : 0.22,쿼터없음
신문방송학전공,COM3428-01,모바일커뮤니케이션,1 : 0.80,1 : 1.10,1 : 0.65,1 : 0.48,쿼터없음
신문방송학전공,COM3434-01,"디지털미디어기업,경영컨설팅",1 : 0.29,쿼터없음,1 : 0.15,1 : 0.22,쿼터없음
신문방송학전공,COM3437-01,스마트앱스비즈니스모델연구(캡스톤디자인),1 : 0.08,1 : 0.10,1 : 0.03,1 : 0.04,쿼터없음
신문방송학전공,COM3438-01,게임커뮤니케이션,1 : 0.22,1 : 0.15,1 : 0.05,1 : 0.13,쿼터없음
신문방송학전공,COM3440-01,가상현실콘텐츠기획제작2,1 : 0.13,쿼터없음,1 : 0.13,1 : 0.07,쿼터없음
교양학부(중핵),COR1001-02,읽기와쓰기,1 : 0.10,1 : 1.00,신청없음,1 : 0.33,1 : 0.03
교양학부(중핵),COR1001-03,읽기와쓰기,1 : 0.03,1 : 0.50,신청없음,신청없음,신청없음
교양학부(중핵),COR1001-04,읽기와쓰기,1 : 0.08,1 : 0.50,1 : 0.33,신청없음,1 : 0.03
교양학부(중핵),COR1001-05,읽기와쓰기,1 : 0.05,1 : 1.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1001-06,읽기와쓰기,1 : 0.10,1 : 1.00,1 : 0.50,신청없음,1 : 0.03
교양학부(중핵),COR1001-08,읽기와쓰기,1 : 0.08,신청없음,신청없음,1 : 0.20,1 : 0.05
교양학부(중핵),COR1001-09,읽기와쓰기,1 : 0.13,1 : 2.00,신청없음,1 : 0.33,신청없음
교양학부(중핵),COR1001-10,읽기와쓰기,1 : 0.05,신청없음,신청없음,신청없음,1 : 0.05
교양학부(중핵),COR1001-11,읽기와쓰기,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-12,읽기와쓰기,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-14,읽기와쓰기,1 : 0.05,1 : 0.50,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-15,읽기와쓰기,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-16,읽기와쓰기,1 : 0.03,신청없음,신청없음,1 : 0.20,신청없음
교양학부(중핵),COR1001-17,읽기와쓰기,1 : 0.10,신청없음,신청없음,1 : 0.40,1 : 0.05
교양학부(중핵),COR1001-18,읽기와쓰기,1 : 0.10,1 : 0.50,1 : 0.33,1 : 0.33,1 : 0.03
교양학부(중핵),COR1001-19,읽기와쓰기,1 : 0.03,신청없음,1 : 0.25,신청없음,신청없음
교양학부(중핵),COR1001-21,읽기와쓰기,1 : 0.08,1 : 1.50,신청없음,신청없음,신청없음
교양학부(중핵),COR1001-23,읽기와쓰기,1 : 0.03,1 : 0.50,신청없음,신청없음,신청없음
교양학부(중핵),COR1001-24,읽기와쓰기,1 : 0.15,1 : 2.00,신청없음,신청없음,1 : 0.05
교양학부(중핵),COR1001-31,읽기와쓰기,1 : 0.04,신청없음,1 : 0.25,1 : 0.25,신청없음
교양학부(중핵),COR1001-32,읽기와쓰기,1 : 0.04,1 : 1.00,신청없음,신청없음,신청없음
