과목코드+분반코드,과목명,전체,1학년,2학년,3학년,4학년
KCS1002-03,대학생활과학문의탐색,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KIC2002-01,공적개발원조,0.07 : 1,신청없음,신청없음,0.04 : 1,0.03 : 1
KIC3004-01,국제개발협력과NGO,0.17 : 1,신청없음,0.03 : 1,0.09 : 1,0.09 : 1
KOR2001-01,국어학입문,1.58 : 1,1.80 : 1,1.60 : 1,0.20 : 1,1.11 : 1
KOR2200-01,국문학개설,0.96 : 1,1.12 : 1,0.70 : 1,0.13 : 1,0.58 : 1
KOR2201-01,문학이란무엇인가,0.95 : 1,0.60 : 1,0.39 : 1,0.25 : 1,0.88 : 1
KOR3020-01,국어어휘론,2.30 : 1,쿼터없음,3.40 : 1,1.45 : 1,2.90 : 1
KOR3303-01,고전수필론,1.35 : 1,쿼터없음,1.67 : 1,1.00 : 1,1.40 : 1
KOR3307-01,고전소설론,0.90 : 1,쿼터없음,0.44 : 1,0.46 : 1,0.78 : 1
KOR3405-01,현대시텍스트읽기II,2.03 : 1,쿼터없음,2.00 : 1,1.60 : 1,2.70 : 1
KOR3407-01,희곡과공연,0.65 : 1,쿼터없음,0.20 : 1,0.31 : 1,0.46 : 1
KOR3412-01,문학비평과수사학,0.57 : 1,쿼터없음,1.40 : 1,0.20 : 1,0.37 : 1
KOR3413-01,영상문학론,0.90 : 1,쿼터없음,1.20 : 1,0.45 : 1,0.68 : 1
KOR4002-01,외국어로서의한국어교육,0.53 : 1,쿼터없음,쿼터없음,0.50 : 1,0.37 : 1
KOR4400-01,현대문학연습,0.35 : 1,쿼터없음,쿼터없음,0.30 : 1,0.24 : 1
KOR4500-01,국어와생활,1.15 : 1,0.20 : 1,0.56 : 1,0.84 : 1,1.33 : 1
KOR4504-01,문학과문화콘텐츠,0.60 : 1,신청없음,0.70 : 1,0.39 : 1,0.38 : 1
KORG001-01,국어학연구방법론,0.30 : 1,쿼터없음,쿼터없음,0.20 : 1,0.22 : 1
KORQ982-01,국어교과논리및논술,0.13 : 1,쿼터없음,신청없음,0.05 : 1,0.10 : 1
KORQ983-01,국어교과교재연구및지도법,0.03 : 1,쿼터없음,신청없음,신청없음,0.03 : 1
KSC1001-01,대학생활을위한학문적읽기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KSC2001-01,한국문화이해를위한학문적읽기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KSC2002-01,한국문화이해를위한비판적쓰기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KSC2003-01,한국문화이해를위한전략적듣기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KSC2004-01,한국문화이해를위한논리적말하기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KSC3001-01,한국사회이해를위한학문적읽기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KSC3002-01,한국사회이해를위한비판적쓰기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KSC3003-01,한국사회이해를위한전략적듣기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KSC3004-01,한국사회이해를위한논리적말하기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KSC4005-01,미디어의변화와한국,0.14 : 1,0.07 : 1,0.12 : 1,0.06 : 1,0.03 : 1
KSC4006-01,한국정치의이해,0.08 : 1,0.10 : 1,0.04 : 1,0.01 : 1,0.03 : 1
KSC4007-01,한국사회변동,0.30 : 1,0.27 : 1,0.15 : 1,0.09 : 1,0.10 : 1
KSC4008-01,한국경제발전론,0.08 : 1,0.07 : 1,0.07 : 1,0.02 : 1,0.01 : 1
KSC4009-01,한국전통문화의이해,0.18 : 1,신청없음,0.13 : 1,0.08 : 1,0.05 : 1
KSC4010-01,남북한관계론,0.12 : 1,신청없음,0.10 : 1,신청없음,0.06 : 1
LAU4004-01,한문의이해,0.70 : 1,0.60 : 1,0.50 : 1,0.24 : 1,0.48 : 1
LAU4006-01,문학과판타지,2.94 : 1,3.40 : 1,2.50 : 1,2.10 : 1,4.00 : 1
LAU4008-01,다매체시대의고전읽기,0.29 : 1,0.60 : 1,신청없음,0.05 : 1,0.19 : 1
LAU4009-01,실무논술작법,0.07 : 1,신청없음,신청없음,신청없음,0.07 : 1
