과목코드-분반,과목명,2016_1_1학년,2016_1_2학년,2016_1_3학년,2016_1_4학년,2016_2_1학년,2016_2_2학년,2016_2_3학년,2016_2_4학년,2017_1_1학년,2017_1_2학년,2017_1_3학년,2017_1_4학년,2017_2_1학년,2017_2_2학년,2017_2_3학년,2017_2_4학년,2018_1_1학년,2018_1_2학년,2018_1_3학년,2018_1_4학년,2018_2_1학년,2018_2_2학년,2018_2_3학년,2018_2_4학년,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년,2019_2_1학년,2019_2_2학년,2019_2_3학년,2019_2_4학년,2020_1_1학년,2020_1_2학년,2020_1_3학년,2020_1_4학년,2020_2_1학년,2020_2_2학년,2020_2_3학년,2020_2_4학년,2021_1_1학년,2021_1_2학년,2021_1_3학년,2021_1_4학년
COR1003-30,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,신청없음,신청없음,신청없음,1 : 1.11,1 : 4.67,1 : 4.00,1 : 1.50,신청없음,1.00 : 1,신청없음,0.67 : 1,,,,,,,,
COR1003-31,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 3.33,1 : 0.33,신청없음,,,,,신청없음,1.00 : 1,신청없음,1.67 : 1,,,,,0.16 : 1,0.33 : 1,신청없음,신청없음
COR1003-32,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,1 : 3.00,신청없음,신청없음,,,,,신청없음,3.00 : 1,신청없음,0.33 : 1,,,,,0.04 : 1,0.67 : 1,0.25 : 1,신청없음
COR1003-33,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.33,신청없음,신청없음,,,,,신청없음,6.00 : 1,2.00 : 1,신청없음,,,,,0.68 : 1,0.67 : 1,0.75 : 1,0.67 : 1
COR1003-34,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.08,1 : 2.00,1 : 1.00,신청없음,,,,,0.09 : 1,7.00 : 1,2.00 : 1,1.00 : 1,,,,,,,,
COR1003-35,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.17,1 : 6.00,1 : 1.00,1 : 3.00,,,,,0.17 : 1,8.00 : 1,2.00 : 1,신청없음,,,,,,,,
COR1003-36,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.38,1 : 7.00,1 : 1.00,신청없음,,,,,0.23 : 1,10.00 : 1,7.00 : 1,1.00 : 1,,,,,,,,
COR1003-37,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.43,1 : 7.00,1 : 6.00,1 : 2.00,,,,,,,,,,,,,,,,
COR1005-01,영어글로벌의사소통I(고급),,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,1 : 5.00,1 : 4.00,1 : 0.50,1 : 0.61,신청없음,신청없음,신청없음,신청없음,1.00 : 1,1.00 : 1,0.50 : 1,0.35 : 1,신청없음,0.12 : 1,0.18 : 1,신청없음,0.50 : 1,신청없음,신청없음
COR1005-02,영어글로벌의사소통I(고급),,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 2.00,1 : 3.00,신청없음,,,,,0.04 : 1,4.00 : 1,신청없음,0.67 : 1,,,,,신청없음,1.50 : 1,신청없음,0.50 : 1
