과목코드-분반,과목명,2016_1_1학년,2016_1_2학년,2016_1_3학년,2016_1_4학년,2016_2_1학년,2016_2_2학년,2016_2_3학년,2016_2_4학년,2017_1_1학년,2017_1_2학년,2017_1_3학년,2017_1_4학년,2017_2_1학년,2017_2_2학년,2017_2_3학년,2017_2_4학년,2018_1_1학년,2018_1_2학년,2018_1_3학년,2018_1_4학년,2018_2_1학년,2018_2_2학년,2018_2_3학년,2018_2_4학년,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년,2019_2_1학년,2019_2_2학년,2019_2_3학년,2019_2_4학년,2020_1_1학년,2020_1_2학년,2020_1_3학년,2020_1_4학년,2020_2_1학년,2020_2_2학년,2020_2_3학년,2020_2_4학년,2021_1_1학년,2021_1_2학년,2021_1_3학년,2021_1_4학년
SHU4063-01,4차산업혁명과기업가정신,,,,,,,,,,,,,,,,,,,,,1 : 0.06,1 : 0.08,1 : 0.11,1 : 0.66,신청없음,1 : 0.27,1 : 0.31,1 : 0.62,1 : 0.63,1 : 1.07,1 : 1.67,1 : 4.07,0.06 : 1,1.57 : 1,2.00 : 1,4.92 : 1,,,,,0.03 : 1,0.58 : 1,0.28 : 1,0.67 : 1
SHU4067-01,동남아시아현대사회의이해,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.04,신청없음,1 : 0.01,,,,,1 : 0.10,1 : 0.13,1 : 0.17,1 : 0.30,,,,,신청없음,신청없음,0.03 : 1,0.10 : 1,,,,
SHU4068-01,한중정치사회의이해(중국어),,,,,,,,,,,,,,,,,,,,,1 : 0.40,1 : 0.61,1 : 0.63,1 : 0.13,쿼터없음,1 : 2.80,1 : 5.10,1 : 2.50,1 : 0.18,1 : 0.24,1 : 0.18,1 : 0.09,쿼터없음,2.50 : 1,1.33 : 1,1.07 : 1,쿼터없음,1.80 : 1,0.33 : 1,0.16 : 1,쿼터없음,0.20 : 1,0.04 : 1,0.08 : 1
SHU4069-01,공공외교의이해,,,,,,,,,,,,,,,,,,,,,1 : 0.15,1 : 0.16,1 : 0.12,1 : 0.22,,,,,,,,,,,,,,,,,,,,
SOC3028-01,불평등의사회사,,,,,,,,,,,,,,,,,,,,,1 : 0.10,1 : 0.13,1 : 0.09,1 : 0.07,,,,,,,,,,,,,,,,,신청없음,0.10 : 1,0.06 : 1,0.11 : 1
SOC3045-01,시대진단의사회학,,,,,,,,,,,,,,,,,,,,,1 : 0.15,1 : 0.41,1 : 0.24,1 : 0.17,,,,,,,,,신청없음,0.60 : 1,0.60 : 1,0.32 : 1,,,,,,,,
SOC3051-01,시장과사회,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.10,1 : 0.02,신청없음,,,,,신청없음,1 : 0.05,1 : 0.05,1 : 0.01,,,,,,,,,,,,
SOC3052-01,문화현장연구실습,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.03,신청없음,1 : 0.01,,,,,,,,,,,,,,,,,,,,
SOCG011-01,고급데이터분석,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.03,1 : 0.07,1 : 0.01,,,,,,,,,,,,,,,,,,,,
SUA2005-01,실전스타트업(캡스톤디자인),,,,,,,,,,,,,,,,,,,,,쿼터없음,신청없음,1 : 0.42,1 : 0.33,신청없음,신청없음,1 : 0.27,1 : 0.29,쿼터없음,쿼터없음,1 : 0.30,1 : 0.06,쿼터없음,쿼터없음,0.10 : 1,0.05 : 1,쿼터없음,쿼터없음,신청없음,0.10 : 1,쿼터없음,쿼터없음,0.50 : 1,0.33 : 1
TLS1001-03,독서와토론,,,,,,,,,,,,,,,,,,,,,1 : 0.07,1 : 0.37,1 : 0.47,신청없음,,,,,,,,,,,,,,,,,,,,
TLS1003-04,스토리텔링글쓰기연습,,,,,,,,,,,,,,,,,,,,,1 : 1.20,1 : 2.40,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,
AAT2001-01,Intro to Art & Technology,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,1 : 0.07,1 : 0.45,1 : 0.24,,,,,,,,,,,,,,,,
AAT2002-01,Humanities & creativity,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.20,1 : 0.50,1 : 1.13,1 : 1.60,1 : 1.00,1 : 1.00,1 : 9.00,쿼터없음,신청없음,0.55 : 1,0.25 : 1,0.08 : 1,쿼터없음,0.31 : 1,0.17 : 1,신청없음,쿼터없음,0.95 : 1,2.50 : 1,0.40 : 1
AAT2003-01,Intro to Digital Arts,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.14,1 : 0.90,1 : 1.09,1 : 0.60,1 : 0.46,1 : 0.06,1 : 0.31,쿼터없음,1.00 : 1,0.80 : 1,1.00 : 1,2.00 : 1,쿼터없음,0.21 : 1,0.31 : 1,0.14 : 1,쿼터없음,1.35 : 1,3.40 : 1,0.60 : 1
AAT2004-01,Intro to Creative Computing,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,1 : 0.33,1 : 0.65,1 : 0.46,1 : 0.50,1 : 0.07,1 : 0.53,쿼터없음,0.50 : 1,1.05 : 1,1.57 : 1,3.00 : 1,쿼터없음,0.24 : 1,0.08 : 1,0.12 : 1,쿼터없음,1.55 : 1,3.20 : 1,신청없음
AAT2005-01,Creative Capstone Project I,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,쿼터없음,1 : 0.30,1 : 0.11,쿼터없음,쿼터없음,1 : 0.10,1 : 0.17,쿼터없음,쿼터없음,0.20 : 1,0.25 : 1,쿼터없음,쿼터없음,0.20 : 1,0.19 : 1,,,,
AAT2006-01,Creative Capstone Project II,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,쿼터없음,쿼터없음,1 : 0.13,_,_,_,_,쿼터없음,쿼터없음,0.10 : 1,0.13 : 1,쿼터없음,쿼터없음,신청없음,0.13 : 1,,,,
AAT3001-01,Modern & Contemporary Art,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 2.20,1 : 2.20,1 : 2.80,,,,,,,,,,,,,,,,
AAT3003-01,Digital Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,1 : 2.08,1 : 1.33,1 : 1.67,,,,,,,,,,,,,쿼터없음,0.10 : 1,1.58 : 1,2.50 : 1
AAT3006-01,Spatial Dynamics,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.60,1 : 0.43,1 : 0.15,,,,,,,,,쿼터없음,1.20 : 1,0.20 : 1,0.47 : 1,,,,
AAT4002-01,Web Studio,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,1 : 0.07,1 : 0.17,1 : 0.34,,,,,쿼터없음,1.20 : 1,0.60 : 1,0.56 : 1,,,,,쿼터없음,0.10 : 1,0.68 : 1,0.56 : 1
AAT4003-01,Live Performance Studio,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,1 : 0.10,신청없음,1 : 0.14,,,,,쿼터없음,1.60 : 1,0.93 : 1,0.36 : 1,,,,,쿼터없음,0.50 : 1,0.53 : 1,0.06 : 1
AAT4007-01,Storytelling Workshop,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,1 : 0.20,1 : 0.22,1 : 0.22,,,,,쿼터없음,0.40 : 1,0.61 : 1,0.53 : 1,,,,,쿼터없음,0.10 : 1,0.42 : 1,0.57 : 1
AAT4011-01,Immersive Media Studio,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,신청없음,1 : 0.10,1 : 0.19,,,,,쿼터없음,0.60 : 1,0.47 : 1,0.68 : 1,,,,,,,,
AAT4015-01,졸업창작프로젝트I,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,쿼터없음,1 : 0.07,신청없음,_,_,_,_,쿼터없음,신청없음,신청없음,0.05 : 1,쿼터없음,쿼터없음,신청없음,0.03 : 1,,,,
AAT4017-01,졸업창작프로젝트III,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,쿼터없음,신청없음,1 : 0.03,_,_,_,_,,,,,,,,,,,,
AIC4010-01,인공지능종합설계Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,쿼터없음,쿼터없음,1 : 0.04,_,_,_,_,쿼터없음,쿼터없음,쿼터없음,0.30 : 1,쿼터없음,쿼터없음,쿼터없음,0.05 : 1,,,,
BIO2311-01,생명유기화학,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.12,1 : 0.10,1 : 0.19,,,,,0.06 : 1,0.52 : 1,0.49 : 1,0.40 : 1,,,,,0.04 : 1,0.36 : 1,0.32 : 1,0.10 : 1
BNTG003-01,기술과경제정책,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,신청없음,신청없음,1 : 0.13,,,,,,,,,,,,,,,,
CBE4013-02,생물화학공학,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,쿼터없음,1 : 0.10,1 : 0.39,,,,,쿼터없음,쿼터없음,0.20 : 1,0.29 : 1,,,,,쿼터없음,쿼터없음,0.60 : 1,0.55 : 1
CHI3017-01,중국어문법의이해,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.60,1 : 0.93,1 : 1.09,,,,,0.20 : 1,0.80 : 1,0.83 : 1,1.29 : 1,,,,,신청없음,1.60 : 1,0.70 : 1,0.25 : 1
CHI3019-01,중국언어로보는중국문화,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.70,1 : 0.62,1 : 0.60,,,,,,,,,0.10 : 1,신청없음,0.03 : 1,0.05 : 1,,,,
CHM2303-03,유기화학III,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,신청없음,1 : 0.06,1 : 0.08,,,,,,,,,,,,,,,,
CHS2002-05,현대한국의형성,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.36,1 : 0.33,1 : 0.04,신청없음,1 : 0.34,1 : 0.32,1 : 0.17,신청없음,0.10 : 1,0.47 : 1,0.52 : 1,0.20 : 1,0.43 : 1,0.09 : 1,0.04 : 1,0.07 : 1,0.03 : 1,0.17 : 1,0.07 : 1,0.09 : 1
COR1003-01,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.05,1 : 1.00,1 : 0.33,신청없음,1 : 1.89,1 : 1.33,1 : 0.33,1 : 0.50,신청없음,3.00 : 1,신청없음,0.33 : 1,3.15 : 1,1.50 : 1,0.50 : 1,신청없음,0.18 : 1,2.50 : 1,1.00 : 1,1.00 : 1
COR1003-02,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.09,1 : 1.00,신청없음,신청없음,1 : 2.11,1 : 1.33,1 : 0.67,신청없음,신청없음,5.00 : 1,신청없음,0.33 : 1,1.55 : 1,3.50 : 1,3.00 : 1,1.00 : 1,0.09 : 1,1.50 : 1,1.00 : 1,1.00 : 1
COR1003-03,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 1.00,신청없음,1 : 0.20,1 : 0.67,신청없음,신청없음,신청없음,0.08 : 1,4.00 : 1,2.00 : 1,신청없음,0.10 : 1,0.05 : 1,신청없음,신청없음,0.04 : 1,신청없음,0.67 : 1,0.50 : 1
COR1003-04,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.67,신청없음,신청없음,1 : 1.17,1 : 0.67,신청없음,1 : 0.50,0.08 : 1,2.00 : 1,1.00 : 1,신청없음,0.05 : 1,신청없음,신청없음,신청없음,신청없음,0.50 : 1,신청없음,신청없음
COR1003-05,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 1.00,신청없음,신청없음,1 : 2.17,1 : 2.00,1 : 0.33,1 : 0.50,0.18 : 1,2.00 : 1,신청없음,1.67 : 1,0.90 : 1,0.75 : 1,0.67 : 1,신청없음,신청없음,0.50 : 1,0.50 : 1,신청없음
COR1003-06,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,1 : 0.33,신청없음,신청없음,1 : 0.50,1 : 0.08,1 : 0.14,신청없음,0.08 : 1,7.00 : 1,3.00 : 1,신청없음,0.80 : 1,0.50 : 1,0.20 : 1,신청없음,0.08 : 1,1.00 : 1,신청없음,신청없음
COR1003-07,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.05,1 : 1.00,신청없음,1 : 0.20,1 : 0.50,1 : 0.42,1 : 0.10,1 : 0.09,,,,,2.25 : 1,2.00 : 1,0.50 : 1,0.33 : 1,,,,
COR1003-08,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,신청없음,1 : 0.17,신청없음,1 : 0.50,1 : 0.08,1 : 0.07,신청없음,0.04 : 1,5.00 : 1,1.00 : 1,신청없음,0.05 : 1,신청없음,신청없음,신청없음,0.08 : 1,2.00 : 1,신청없음,신청없음
COR1003-09,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.33,신청없음,1 : 0.14,1 : 1.72,신청없음,1 : 0.17,1 : 0.14,,,,,0.25 : 1,신청없음,신청없음,0.05 : 1,신청없음,1.00 : 1,신청없음,1.50 : 1
COR1003-10,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,1 : 0.67,1 : 0.25,신청없음,1 : 0.11,신청없음,신청없음,신청없음,0.04 : 1,신청없음,신청없음,0.25 : 1,0.45 : 1,신청없음,0.07 : 1,신청없음,,,,
COR1003-11,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,신청없음,1 : 0.17,1 : 0.29,1 : 0.39,1 : 0.21,신청없음,신청없음,신청없음,2.00 : 1,4.00 : 1,신청없음,0.55 : 1,0.09 : 1,신청없음,신청없음,,,,
COR1003-12,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,1 : 1.00,신청없음,신청없음,1 : 0.17,1 : 0.06,신청없음,신청없음,,,,,1.90 : 1,4.00 : 1,2.00 : 1,1.00 : 1,0.04 : 1,신청없음,신청없음,신청없음
COR1003-14,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.08,신청없음,1 : 0.33,신청없음,1 : 0.28,신청없음,신청없음,신청없음,0.04 : 1,신청없음,신청없음,신청없음,0.65 : 1,0.33 : 1,0.13 : 1,신청없음,0.04 : 1,신청없음,신청없음,신청없음
COR1003-15,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.05,1 : 3.67,1 : 0.33,1 : 0.50,1 : 0.06,신청없음,신청없음,신청없음,신청없음,2.00 : 1,1.00 : 1,신청없음,0.55 : 1,0.27 : 1,0.10 : 1,0.09 : 1,,,,
COR1003-16,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,1 : 0.67,신청없음,신청없음,1 : 0.94,1 : 0.75,신청없음,1 : 0.17,0.04 : 1,1.00 : 1,신청없음,신청없음,0.05 : 1,신청없음,신청없음,0.04 : 1,신청없음,0.50 : 1,신청없음,신청없음
COR1003-17,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.48,1 : 1.67,신청없음,신청없음,1 : 0.22,1 : 0.35,신청없음,신청없음,신청없음,1.00 : 1,신청없음,0.67 : 1,0.30 : 1,신청없음,신청없음,신청없음,신청없음,신청없음,0.33 : 1,신청없음
COR1003-18,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.59,1 : 3.00,1 : 0.33,신청없음,1 : 1.72,1 : 0.33,1 : 0.40,신청없음,신청없음,1.00 : 1,신청없음,신청없음,0.40 : 1,신청없음,0.06 : 1,0.06 : 1,신청없음,신청없음,0.33 : 1,신청없음
COR1003-19,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.23,1 : 4.33,1 : 0.33,신청없음,1 : 0.28,1 : 0.13,신청없음,1 : 0.05,신청없음,2.00 : 1,신청없음,신청없음,0.65 : 1,0.44 : 1,0.14 : 1,신청없음,,,,
