과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ZKAP001-12,학문을위한한국어 I,김지은,3,"화,금 15:00~16:15 [AR804]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-13,학문을위한한국어 I,박다래,3,"화,목 16:30~17:45 [AR808]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-14,학문을위한한국어 I,박다래,3,"수,금 15:00~16:15 [AR808]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-15,학문을위한한국어 I,박다래,3,"월,금 16:30~17:45 [AR808]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-16,학문을위한한국어 I,박선민,3,"수,금 13:30~14:45 [AR805]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-17,학문을위한한국어 I,박선민,3,"화,금 13:30~14:45 [AR805]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-18,학문을위한한국어 I,박선민,3,"화,목 16:30~17:45 [AR805]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-01,학문을위한한국어 II,박주영,3,"화,금 15:00~16:15 [AR907]",1-4학년,,1,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-02,학문을위한한국어 II,박주영,3,"수,금 15:00~16:15 [AR907]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-03,학문을위한한국어 II,박주영,3,"월,금 16:30~17:45 [AR907]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-04,학문을위한한국어 II,손정란,3,"수,금 13:30~14:45 [AR813]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-05,학문을위한한국어 II,손정란,3,"화,목 16:30~17:45 [AR813]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
