소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
인공지능,MAS2009-01,Machine Learning Programming,정문열,3,수금,15:00~16:15,K404,24,없음,알수없음,0,0
인공지능,EEE2153-01,신호및시스템,김영록,3,화목,09:00~10:15,AS305,2,없음,알수없음,0,0
인공지능,EEE2153-02,신호및시스템,성원진,3,월수,12:00~13:15,K303,2,없음,알수없음,0,1
인공지능,EEE2153-01,신호및시스템,성원진,3,월수,12:00~13:15,없음,2,없음,알수없음,0,1
인공지능,EEE2153-02,신호및시스템,김영록,3,화목,10:30~11:45,없음,2,없음,알수없음,0,0
인공지능,EEE4165-01,디지털영상처리개론,김경환,3,화목,13:30~14:45,AS301,4,없음,1.396,0,1
인공지능,EEE4175-01,디지털신호처리개론,송태경,3,화목,10:30~11:45,K302,4,없음,알수없음,1,0
인공지능,EEE3142-01,기계학습기초,강석주,3,수금,13:30~14:45,없음,3,없음,알수없음,0,1
인공지능,CSEG311-01,대화형사용자인터페이스개론,김지환,3,수금,15:00~16:15,R903,34,없음,알수없음,1,0
인공지능,CSEG414-01,병렬분산컴퓨팅,박성용,3,화목,13:30~14:45,R903,4,없음,알수없음,0,0
인공지능,CSE4185-01,기초인공지능,오경환,3,수금,13:30~14:45,RA204,34,없음,알수없음,0,0
인공지능,JAS4014-01,데이터마이닝,임종섭,3,화목,13:30~14:45,GA303B,34,없음,1.101,0,0
인공지능,MAT2110-01,선형대수학,김종수,3,화목,10:30~11:45,RA408,2,없음,알수없음,0,0
인공지능,MAT2110-02,선형대수학,조상현,3,수금,13:30~14:45,K212,2,없음,1.646,1,0
인공지능,MAT2110-03,선형대수학,조성희,3,화목,13:30~14:45,K307,2,꼰대,알수없음,0,0
인공지능,MAT2110-04,선형대수학,김순영,3,화목,10:30~11:45,RA410,2,도도천사,알수없음,0,0
인공지능,MAT2110-05,선형대수학,최미란,3,금,10:30~13:15,RA408,2,천사,알수없음,0,0
인공지능,MAT2110-01,선형대수학,조상현,3,수금,09:00~10:15,RA308,2,없음,1.646,1,0
인공지능,MAT2110-02,선형대수학,이영란,3,수금,13:30~14:45,RA308,2,없음,1.337,0,0
인공지능,MAT2110-03,선형대수학,유지현,3,월,13:30~16:15,RA308,2,도도,알수없음,0,0
인공지능,MAT2110-02,선형대수학,조성희,3,화목,10:30~11:45,RA406B,2,꼰대,알수없음,0,0
인공지능,MAT2110-03,선형대수학,Ho,3,화목,09:00~10:15,RA406B,2,없음,알수없음,0,0
인공지능,MAT2110-04,선형대수학,조성희,3,화목,12:00~13:15,RA406B,2,꼰대,알수없음,0,0
인공지능,MAT2110-05,선형대수학,한상현,3,화목,13:30~14:45,RA308,2,없음,알수없음,0,0
인공지능,MAT2110-03,선형대수학,조장현,3,화목,12:00~13:15,없음,2,없음,알수없음,0,0
인공지능,MAT2110-03,선형대수학,이영란,3,화목,09:00~10:15,없음,2,없음,1.337,0,0
인공지능,MAT2110-04,선형대수학,Ho,3,월수,12:00~13:15,없음,2,없음,알수없음,0,0
인공지능,MAT2110-05,선형대수학,옥지훈,3,화목,13:30~14:45,없음,2,없음,알수없음,0,0
인공지능,MEE3006-01,기계공학해석,박정열,3,화목,16:30~17:45,K203,3,없음,2.058,1,0
인공지능,MEE3006-01,기계공학해석,이태수,3,화목,12:00~13:15,K309,3,없음,알수없음,1,0
인공지능,MEE3006-02,기계공학해석,박정열,3,화목,09:00~10:15,K307,3,없음,2.058,1,0
인공지능,CBE4022-01,인공지능:딥러닝,최진훈,3,화목,15:00~16:15,AS412,34,없음,알수없음,1,0
인공지능,ECO4020-01,경제학특강3,정재식,3,화목,10:30~11:45,GN203,34,없음,알수없음,0,0
인공지능,ECO4020-01,경제학특강3(금융시장의빅데이터분석),정재식,3,화목,13:30~14:45,GN402,34,없음,알수없음,0,0
인공지능,MAT2410-01,응용수학1,유지현,3,월수,12:00~13:15,K504,2,도도,1.167,0,0
인공지능,MAT2410-02,응용수학1,유지현,3,화목,12:00~13:15,K303,2,도도,1.167,0,0
인공지능,MAT2420-01,응용수학2,조성희,3,화목,10:30~11:45,RA310,2,꼰대,알수없음,0,0
인공지능,MAT2420-02,응용수학2,조성희,3,화목,12:00~13:15,RA310,2,꼰대,알수없음,0,0
인공지능,MAT2410-02,응용수학1,하구용,3,수금,09:00~10:15,RA310,2,없음,알수없음,0,0
인공지능,MAT2420-01,응용수학2,유지현,3,월수,10:30~11:45,없음,2,도도,알수없음,0,0
인공지능,MAT2420-02,응용수학2,김현정,3,화목,12:00~13:15,없음,2,천사,알수없음,0,0
인공지능,MAT2410-02,응용수학1,김현정,3,화목,09:00~10:15,없음,2,천사,알수없음,0,0
인공지능,EEE2103-01,고급공학수학1,박형민,3,수금,13:30~14:45,K401,2,없음,1.231,0,0
인공지능,EEE2103-02,고급공학수학1,이행선,3,수금,09:00~10:15,AS301,2,없음,알수없음,0,0
인공지능,EEE2104-01,고급공학수학2,윤광석,3,화목,10:30~11:45,R404,2,없음,알수없음,0,0
인공지능,EEE2104-02,고급공학수학2,김홍석,3,수금,09:00~10:15,AS311,2,없음,알수없음,0,0
인공지능,EEE2103-01,고급공학수학1,범진욱,3,월수,12:00~13:15,AS414,2,없음,알수없음,0,0
인공지능,EEE2103-02,고급공학수학1,박형민,3,화목,10:30~11:45,AS414,2,없음,1.231,0,0
인공지능,MEE2006-01,공학수학1,정봉근,3,화목,12:00~13:15,K202,2,도도,0.804,0,0
인공지능,MEE2007-01,공학수학2,김대중,3,화목,10:30~11:45,K401,2,없음,알수없음,0,0
인공지능,MEE2007-01,공학수학2,정봉근,3,화목,13:30~14:45,없음,2,도도,알수없음,0,0
인공지능,MEE2006-01,공학수학1,김상엽,3,화목,09:00~10:15,없음,2,없음,알수없음,0,0
인공지능,MEE2006-02,공학수학1,정봉근,3,화목,12:00~13:15,없음,2,도도,0.804,0,0
인공지능,CBE2011-01,화공수학1,최진훈,3,화목,12:00~13:15,K307,14,없음,1.285,1,0
인공지능,CBE2011-02,화공수학1,이종석,3,금,10:30~13:15,R404,14,없음,1.162,0,0
인공지능,CBE2012-01,화공수학2,최진훈,3,화목,12:00~13:15,K212,14,없음,알수없음,1,0
인공지능,CBE2012-02,화공수학2,이종석,3,화목,15:00~16:15,K307,14,없음,알수없음,0,0
