소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실_x,권장학년,교수특징,경쟁점수,꿀점수,배움점수
물리학전공,PHY2003-01,전자기학I,박정혁,3,[화목],13:30~14:45,RA310,['2'],[],,13.44,6.0
물리학전공,PHY2004-01,전자기학II,손원민,3,[수금],13:30~14:45,RA406A,['2'],[],,,
물리학전공,PHY2005-01,수리물리학I,Scopel Stefano,3,[수금],09:00~10:15,RA308,['2'],[],,10.5,9.0
물리학전공,PHY2101-01,실험물리학I,장준익,2,[월],15:00~18:50,R110,['2'],[],,,
물리학전공,PHY2101-02,실험물리학I,장준익,2,[수],15:00~18:50,R110,['2'],[],,,
물리학전공,PHY2101-03,실험물리학I,정현식,2,[목],15:00~18:50,R110,['2'],[],,,
물리학전공,PHY2101-04,실험물리학I,임채호,2,[금],15:00~18:50,R110,['2'],[],,,
물리학전공,PHY3001-01,양자물리학I,이현철,3,[월수],10:30~11:45,RA410,['3'],[],,8.67,13.2
물리학전공,PHY3003-01,열역학,김도석,3,[화목],12:00~13:15,RA310,['3'],['카리스마'],,11.22,12.1
화공생명공학전공,CBE3002-01,공정열역학,임종성,3,[화목],15:00~16:15,K301,['3'],[],1.2388338983050846,10.66,10.5
기계공학전공,MEE4032-01,미소열유체역학,"Cho, Sungkwon",3,[수금],13:30~14:45,AS311,"['3', '4']",,,,
물리학전공,PHY3101-01,실험물리학III,김현정,2,[월],15:00~18:50,R108,['3'],"['열정러', '엔젤', '월급루팡']",,,
물리학전공,PHY3101-02,실험물리학III,김현정,2,[수],15:00~18:50,R108,['3'],"['열정러', '엔젤', '월급루팡']",,,
물리학전공,PHY3101-03,실험물리학III,정명화,2,[목],15:00~18:50,R108,['3'],[],,,
물리학전공,PHY3101-04,실험물리학III,조규만,2,[금],15:00~18:50,R108,['3'],[],,,
,PHY3501-01,물리캡스톤디자인I,한도석,3,[금],10:30~13:15,AS305,"['2', '4']",,,,
물리학전공,PHY4001-01,고체물리학I,정현식,3,[수금],15:00~16:15,AS412,"['3', '4']",[],,12.75,12.65
물리학전공,PHY4003-01,현대광학I,장준익,3,[화목],09:00~10:15,AS305,"['3', '4']",[],2.0469913043478263,4.766466666666667,8.012333333333334
물리학전공,PHY4005-01,기초입자이론I,김원태,3,[화목],15:00~16:15,AS311,['4'],[],,,
물리학전공,PHY4016-01,디스플레이물리,이기진,3,[월],13:30~16:15,AS305,"['3', '4']",[],,16.32,8.8
물리학전공,PHY4201-01,특수연구,임채호,3,[화],16:30~18:00,R404,['4'],[],,,
물리학전공,PHY4202-01,물리학특강,PalUmapada,3,[월수],12:00~13:15,AS311,"['3', '4']",[],,9.09,13.65
물리학전공,PHY4203-01,물리특허와기술이전,김현진,1,[화],15:00~15:50,K208,['4'],[],1.0865833333333332,15.446566666666666,8.429499999999999
물리학전공,PHY4204-01,졸업프로젝트,임채호,3,[화],16:30~18:00,R404,['4'],[],,,
물리학전공,PHYG001-01,고전물리I,박정혁,3,[화목],12:00~13:15,K506,['4'],[],,,
경제학전공,ECO2001-01,경제학원론I,김종화,3,[월수],10:30~11:45,GN101,['1'],['꼰대'],,12.796342857142859,17.30742857142857
경제학전공,ECO2001-02,경제학원론I,안태현,3,[월수],12:00~13:15,GN201,['1'],[],2.043660666666667,20.681579104477613,15.565208955223884
경제학전공,ECO2001-03,경제학원론I,김영철,3,[월수],16:30~17:45,GN201,['1'],[],,12.007206451612904,16.874419354838707
경제학전공,ECO2001-04,경제학원론I,조무상,3,[수금],13:30~14:45,GN201,['1'],[],,14.490000000000002,9.0
,ECO2001-05,경제학원론I,최경덕,3,[수금],15:00~16:15,GN201,['1'],[],,19.256666666666668,6.5
,ECO2001-06,경제학원론I,정지은,3,[화목],09:00~10:15,GN101,['1'],[],,10.953022222222224,12.569555555555556
경제학전공,ECO2001-07,경제학원론I,전현배,3,[화목],12:00~13:15,GN102,['1'],['귀요미'],,11.36138823529412,12.84988235294118
경제학전공,ECO2001-08,경제학원론I,김홍균,3,[화목],15:00~16:15,GN201,['1'],['꼰대'],2.0734441,15.847196774193545,8.72017741935483
경제학전공,ECO2001-09,경제학원론I,왕윤종,3,[화목],16:30~17:45,GN202,['1'],['시크'],3.755839904761904,17.665863157894734,12.21931578947368
경제학전공,ECO2002-01,경제학원론II,김종화,3,[월수],16:30~17:45,GN202,['1'],['꼰대'],,13.125527586206898,18.59212068965517
경제학전공,ECO2002-02,경제학원론II,곽노선,3,[화목],13:30~14:45,GN201,['1'],['귀요미'],1.214205252525253,9.116113043478254,33.08752173913042
경제학전공,ECO2002-03,경제학원론II,왕윤종,3,[화목],15:00~16:15,GN101,['1'],['시크'],,17.447288888888885,16.47644444444444
경제학전공,ECO2002-04,경제학원론II,박정수,3,[화목],16:30~17:45,GN201,['1'],[],,15.402057142857144,8.564571428571428
