소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
물리학,PHY3102-03,실험물리학4,정현식,2,목,15:00~18:50,R108,3,없음,알수없음,0,0
물리학,PHY3102-04,실험물리학4,김현정,2,금,15:00~18:50,R108,3,천사,알수없음,0,0
물리학,PHY4010-01,일반상대성이론,이범훈,3,월수,10:30~11:45,없음,34,없음,알수없음,1,0
물리학,PHY4012-01,나노물리,김현정,3,화목,09:00~10:15,없음,34,천사,알수없음,0,0
물리학,PHY4013-01,바이오물리,김도석,3,화목,12:00~13:15,없음,34,없음,알수없음,0,0
물리학,PHY4201-01,특수연구,이기진,3,화,16:30~18:00,없음,4,없음,알수없음,0,0
물리학,PHY4202-01,물리학특강,손원민,3,수금,15:00~16:15,없음,34,없음,알수없음,0,0
물리학,PHY4204-01,졸업프로젝트,이기진,3,화,16:30~18:00,없음,4,없음,알수없음,0,0
물리학,PHYG003-01,통계역학,이현철,3,월수,10:30~11:45,없음,4,없음,알수없음,1,0
경제학,ECO2001-01,경제학원론1,양현주,3,월수,10:30~11:45,없음,1,없음,2.211,0,1
경제학,ECO2001-04,경제학원론1,김홍균,3,화목,15:00~16:15,없음,1,꼰대,2.073,0,0
경제학,ECO2002-01,경제학원론2,전성훈,3,수금,13:30~14:45,GN101,1,없음,알수없음,0,0
경제학,ECO2002-02,경제학원론2,임슬기,3,월수,10:30~11:45,없음,1,없음,알수없음,0,0
경제학,ECO2002-03,경제학원론2,김형욱,3,수금,09:00~10:15,없음,1,도도,알수없음,0,0
경제학,ECO2002-04,경제학원론2,임슬기,3,월수,12:00~13:15,없음,1,없음,알수없음,0,0
경제학,ECO2002-05,경제학원론2,박정수,3,화목,12:00~13:15,GN101,1,없음,알수없음,0,0
경제학,ECO2002-06,경제학원론2,왕윤종,3,화목,16:30~17:45,없음,1,도도,알수없음,1,0
경제학,ECO2003-01,경제수리기초,김석일,3,월수,16:30~17:45,없음,1,없음,알수없음,0,0
경제학,ECO2003-02,경제수리기초,박경옥,3,화목,16:30~17:45,없음,1,없음,2.775,1,0
경제학,ECO2004-03,경제통계학,이영훈,3,화목,15:00~16:15,GN101,1,없음,알수없음,0,0
경제학,ECO2005-02,경제정보분석,이강오,3,수금,13:30~14:45,GN402,2,없음,1.44,0,0
경제학,ECO2006-02,미시경제학1,Doruk,3,수금,09:00~10:15,없음,2,없음,알수없음,1,0
경제학,ECO2006-03,미시경제학1,김도영,3,화목,12:00~13:15,없음,2,없음,2.072,0,0
경제학,ECO2007-01,거시경제학1,김숙영,3,월수,16:30~17:45,없음,2,없음,알수없음,0,0
경제학,ECO2007-02,거시경제학1,허준영,3,수금,13:30~14:45,없음,2,없음,알수없음,0,0
경제학,ECO2007-03,거시경제학1,이윤수,3,수금,15:00~16:15,GN101,2,없음,1.946,1,0
경제학,ECOG020-01,고급거시경제학1,이윤수,3,수금,13:30~14:45,없음,4,없음,알수없음,0,0
경제학,ECO2008-01,수리경제학,이성원,3,월수,12:00~13:15,없음,2,없음,알수없음,0,0
경제학,ECO2009-01,계량경제학1,이성원,3,월수,16:30~17:45,없음,23,없음,알수없음,0,0
경제학,ECO3008-01,금융경제학,곽노선,3,월수,10:30~11:45,없음,34,귀염,알수없음,0,0
경제학,ECO4008-01,금융정책,허준영,3,수금,15:00~16:15,없음,34,없음,알수없음,0,0
경제학,ECO4019-01,다국적기업의경제학,허정,3,화목,16:30~17:45,없음,34,없음,알수없음,0,0
경제학,ECO4031-01,실험경제학,이진권,3,월수,16:30~17:45,없음,24,없음,알수없음,0,0
생명과학,BIO1102-02,일반생물학2,한징택,3,월수,12:00~13:15,없음,1,없음,알수없음,0,0
생명과학,BIO1102-03,일반생물학2,정광환,3,화목,10:30~11:45,J118,1,없음,알수없음,1,0
생명과학,BIO1106-04,일반생물학실험2,이병하,1,화,16:30~19:15,K213,1,없음,알수없음,0,0
생명과학,BIO1106-05,일반생물학실험2,김종찬,1,수,13:30~16:15,K213,1,없음,알수없음,0,0
생명과학,BIO1106-06,일반생물학실험2,정광환,1,수,16:30~19:15,K213,1,없음,알수없음,0,1
생명과학,BIO1106-07,일반생물학실험2,신형두,1,목,13:30~16:15,K213,1,없음,알수없음,0,0
생명과학,BIO1106-08,일반생물학실험2,서미정,1,목,16:30~19:15,K213,1,없음,알수없음,0,0
생명과학,BIO1106-09,일반생물학실험2,김성룡,1,금,13:30~16:15,K213,1,없음,알수없음,0,0
생명과학,BIO1106-10,일반생물학실험2,김건수,1,금,16:30~19:15,K213,1,귀염,알수없음,0,0
생명과학,BIO2122-01,현대생물학실험2,이규호,3,월,13:30~18:20,R204,2,없음,알수없음,0,0
생명과학,BIO2122-02,현대생물학실험2,한징택,3,화,13:30~18:20,R204,2,없음,알수없음,0,0
생명과학,BIO2122-03,현대생물학실험2,김성룡,3,수,13:30~18:20,R204,2,없음,알수없음,0,0
생명과학,BIO2122-04,현대생물학실험2,김종찬,3,목,13:30~18:20,R204,2,없음,알수없음,0,0
생명과학,BIO2151-01,분자생물학,주봉건,3,화목,10:30~11:45,J102,2,도도,알수없음,0,0
생명과학,BIO3124-02,현대생물학실험4,신형두,3,화,13:30~18:20,R210,3,없음,알수없음,0,0
생명과학,BIO3124-03,현대생물학실험4,주봉건,3,수,13:30~18:20,R210,3,도도,알수없음,0,0
경영학,MGT2002-05,경영통계학,김범수,3,월수,16:30~17:45,K302,1,없음,1.737,0,0
경영학,MGT2002-06,경영통계학,정예숙,3,수금,13:30~14:45,없음,1,없음,2.05,0,0
경영학,MGT2003-04,회계학원론,최순재,3,화목,10:30~11:45,없음,12,귀염도도,1.525,0,1
경영학,MGT3001-03,조직행동이론,장영균,3,화목,13:30~14:45,없음,24,없음,1.583,0,1
경영학,MGT3001-04,조직행동이론,이지운,3,수금,09:00~10:15,없음,24,없음,알수없음,0,0
경영학,MGT3002-04,경영정보시스템,오혜림,3,화목,13:30~14:45,없음,24,없음,알수없음,0,0
